days,readings
313,"Lamentations 3-5, 1 Peter 5"
314,"2 Chronicles 36, Daniel 1-2, Hebrews 1"
315,"Daniel 3-4, Hebrews 2"
316,"Daniel 5-7, Hebrews 3"
317,"Daniel 8-10, Hebrews 4"
318,"Daniel 11-12, Hebrews 5"
319,"Psalm 137, Ezekiel 1-2, Hebrews 6"
320,"Ezekiel 3-4, Hebrews 7"
321,"Ezekiel 5-7, Hebrews 8"
322,"Ezekiel 8-10, Hebrews 9"
323,"Ezekiel 11-13, Hebrews 10:1-18"
324,"Ezekiel 14-15, Hebrews 10:19-39"
325,"Ezekiel 16-17, Hebrews 11:1-19"
326,"Ezekiel 18-19, Hebrews 11:20-40"
327,"Ezekiel 20-21, Hebrews 12"
328,"Ezekiel 22-23, Hebrews 13"
329,"Ezekiel 24-26, 2 Timothy 1"
330,"Ezekiel 27-29, 2 Timothy 2"
331,"Ezekiel 30-32, 2 Timothy 3"
332,"Ezekiel 33-34, 2 Timothy 4"
333,"Ezekiel 35-36, Jude 1"
334,"Ezekiel 37-39, 2 Peter 1"
335,"Ezekiel 40-41, 2 Peter 2"
336,"Ezekiel 42-44, 2 Peter 3"
337,"Ezekiel 45-46, 1 John 1"
338,"Ezekiel 47-48, 1 John 2"
339,"Ezra 1-2, 1 John 3"
340,"Ezra 3-4, 1 John 4"
341,"Haggai 1-2, 1 John 5"
342,"Zechariah 1-4, 2 John 1"
343,"Zechariah 5-8, 3 John 1"
344,"Zechariah 9-10, Revelation 1"
345,"Zechariah 11-12, Revelation 2"
346,"Zechariah 13-14, Revelation 3"
347,"Psalm 74-76, Revelation 4"
348,"Psalm 77-78, Revelation 5"
349,"Psalm 79-80, Revelation 6"
350,"Psalm 81-82, Revelation 7"
351,"Psalm 83-84, Revelation 8"
352,"Psalm 107, Psalm 126, Revelation 9"
353,"Ezra 5-7, Revelation 10"
354,"Esther 1-2, Revelation 11"
355,"Esther 3-5, Revelation 12"
356,"Esther 6-8, Revelation 13"
357,"Esther 9-10, Revelation 14"
358,"Ezra 8-10, Revelation 15"
359,"Nehemiah 1-3, Revelation 16"
360,"Nehemiah 4-6, Revelation 17"
